The United States of America, Life tables (period 5x1), Females     Last modified: 07-Sep-2016, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1933           0      0.05451  0.05224  0.21  100000    5224   95850  6278342  62.78
  1933         1-4      0.00451  0.01783  1.41   94776    1690  374725  6182492  65.23
  1933         5-9      0.00150  0.00745  2.28   93086     694  463540  5807768  62.39
  1933        10-14     0.00117  0.00584  2.62   92392     539  460678  5344228  57.84
  1933        15-19     0.00210  0.01043  2.72   91852     958  457077  4883550  53.17
  1933        20-24     0.00313  0.01552  2.59   90895    1410  451076  4426473  48.70
  1933        25-29     0.00360  0.01786  2.53   89484    1598  443477  3975397  44.43
  1933        30-34     0.00411  0.02034  2.57   87886    1788  435096  3531920  40.19
  1933        35-39     0.00509  0.02514  2.55   86099    2165  425185  3096823  35.97
  1933        40-44     0.00610  0.03008  2.60   83934    2525  413617  2671638  31.83
  1933        45-49     0.00847  0.04152  2.62   81409    3380  398990  2258021  27.74
  1933        50-54     0.01168  0.05681  2.59   78029    4433  379461  1859032  23.82
  1933        55-59     0.01592  0.07672  2.63   73596    5646  354593  1479571  20.10
  1933        60-64     0.02445  0.11548  2.60   67950    7847  320934  1124978  16.56
  1933        65-69     0.03577  0.16476  2.61   60103    9902  276873   804044  13.38
  1933        70-74     0.05767  0.25263  2.55   50201   12682  219919   527171  10.50
  1933        75-79     0.08436  0.34862  2.51   37518   13080  155038   307252   8.19
  1933        80-84     0.12715  0.47802  2.41   24439   11682   91880   152214   6.23
  1933        85-89     0.18552  0.61625  2.28   12756    7861   42373    60334   4.73
  1933        90-94     0.25378  0.72848  2.08    4895    3566   14052    17961   3.67
  1933        95-99     0.32536  0.81748  1.96    1329    1087    3340     3909   2.94
  1933       100-104    0.41643  0.88882  1.78     243     216     518      570   2.35
  1933       105-109    0.51368  0.93488  1.60      27      25      49       52   1.93
  1933       110+       0.59296  1.00000  1.69       2       2       3        3   1.69
  1934           0      0.05966  0.05701  0.22  100000    5701   95553  6234298  62.34
  1934         1-4      0.00494  0.01951  1.37   94299    1840  372351  6138744  65.10
  1934         5-9      0.00152  0.00758  2.29   92459     701  460395  5766393  62.37
  1934        10-14     0.00121  0.00601  2.60   91758     551  457466  5305998  57.83
  1934        15-19     0.00207  0.01031  2.71   91206     940  453881  4848532  53.16
  1934        20-24     0.00307  0.01525  2.59   90266    1376  448020  4394651  48.69
