Sweden, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 21/03/2016
Year    Age        Exposure
1891     12        48504.90
1891     13        47765.76
1891     14        47217.70
1891     15        45668.90
1891     16        44170.68
1891     17        42668.58
1891     18        41080.92
1891     19        40108.17
1891     20        38474.18
1891     21        36013.08
1891     22        33442.76
1891     23        33359.10
1891     24        36329.59
1891     25        37327.67
1891     26        37154.28
1891     27        36950.14
1891     28        35908.23
1891     29        34242.41
1891     30        34290.88
1891     31        35320.71
1891     32        35040.63
1891     33        33141.64
1891     34        30871.00
1891     35        29950.84
1891     36        30717.71
1891     37        30185.77
1891     38        27770.25
1891     39        27374.24
1891     40        28025.40
1891     41        28522.82
1891     42        27840.07
1891     43        25946.31
1891     44        24725.17
1891     45        25129.59
1891     46        26427.20
1891     47        26117.56
1891     48        25508.45
1891     49        24949.99
1891     50        24505.30
1891     51        23833.63
1891     52        22448.71
1891     53        22225.86
1891     54        22818.29
1891     55        23431.58
1892     12        48872.10
1892     13        48141.33
1892     14        47367.30
1892     15        46591.10
1892     16        44837.90
1892     17        43106.26
1892     18        41476.11
1892     19        39836.86
1892     20        38839.78
1892     21        37343.71
1892     22        34973.04
1892     23        32571.73
1892     24        32542.16
1892     25        35522.08
1892     26        36486.64
1892     27        36393.33
1892     28        36287.11
1892     29        35276.71
1892     30        33717.95
1892     31        33780.33
1892     32        34831.18
1892     33        34560.64
1892     34        32698.16
1892     35        30493.27
1892     36        29583.31
1892     37        30375.66
1892     38        29848.34
1892     39        27447.74
1892     40        27074.95
1892     41        27691.27
1892     42        28194.28
1892     43        27551.07
1892     44        25673.27
1892     45        24436.19
1892     46        24843.08
1892     47        26132.04
1892     48        25810.58
1892     49        25205.14
1892     50        24638.38
1892     51        24184.54
1892     52        23521.65
1892     53        22150.19
1892     54        21917.57
1892     55        22479.40
1893     12        47927.24
1893     13        48512.56
1893     14        47735.81
1893     15        46766.50
1893     16        45750.21
1893     17        43746.87
1893     18        41970.61
1893     19        40259.46
1893     20        38610.45
1893     21        37717.74
1893     22        36223.77
1893     23        34048.08
1893     24        31770.76
1893     25        31830.81
1893     26        34768.24
1893     27        35772.16
1893     28        35764.38
1893     29        35693.69
1893     30        34746.29
1893     31        33221.48
1893     32        33293.75
1893     33        34385.23
1893     34        34112.67
1893     35        32280.48
1893     36        30118.32
1893     37        29259.88
1893     38        30024.50
1893     39        29516.33
1893     40        27160.29
1893     41        26769.86
1893     42        27382.39
1893     43        27907.93
1893     44        27270.08
1893     45        25394.78
1893     46        24160.34
1893     47        24572.12
1893     48        25840.28
1893     49        25507.60
1893     50        24886.74
1893     51        24320.90
1893     52        23855.18
1893     53        23213.67
1893     54        21837.13
1893     55        21582.73
1894     12        48298.68
1894     13        47667.49
1894     14        48205.78
1894     15        47279.38
1894     16        46118.94
1894     17        44937.15
1894     18        42910.93
1894     19        41105.12
1894     20        39412.54
1894     21        37832.95
1894     22        36932.77
1894     23        35570.75
1894     24        33474.06
1894     25        31309.37
1894     26        31387.22
1894     27        34313.38
1894     28        35342.73
1894     29        35386.35
1894     30        35313.68
1894     31        34371.28
1894     32        32867.99
1894     33        32983.85
1894     34        34076.27
1894     35        33788.89
1894     36        31970.95
1894     37        29866.33
1894     38        28992.30
1894     39        29740.02
1894     40        29257.35
1894     41        26917.79
1894     42        26520.52
1894     43        27138.88
1894     44        27647.98
1894     45        27023.61
1894     46        25159.81
1894     47        23945.89
1894     48        24344.09
1894     49        25597.24
1894     50        25248.00
1894     51        24624.85
1894     52        24036.42
1894     53        23562.17
1894     54        22930.20
1894     55        21550.07
1895     12        49021.04
1895     13        48094.23
1895     14        47421.90
1895     15        47811.23
1895     16        46725.47
1895     17        45472.63
1895     18        44235.05
1895     19        42219.95
1895     20        40448.74
1895     21        38811.61
1895     22        37303.99
1895     23        36462.80
1895     24        35144.28
1895     25        33137.76
1895     26        31033.41
1895     27        31110.41
1895     28        34037.86
1895     29        35085.76
1895     30        35096.93
1895     31        35035.79
1895     32        34091.36
1895     33        32651.04
1895     34        32753.60
1895     35        33828.57
1895     36        33512.51
1895     37        31734.95
1895     38        29643.87
1895     39        28752.93
1895     40        29502.65
1895     41        29017.41
1895     42        26704.87
1895     43        26315.06
1895     44        26915.03
1895     45        27421.52
1895     46        26796.54
1895     47        24965.88
1895     48        23741.90
1895     49        24124.17
1895     50        25364.33
1895     51        24994.17
1895     52        24367.50
1895     53        23771.00
1895     54        23294.67
1895     55        22647.17
1896     12        50368.49
1896     13        48806.90
1896     14        47820.22
1896     15        47019.79
1896     16        47197.86
1896     17        45973.39
1896     18        44657.08
1896     19        43369.97
1896     20        41412.83
1896     21        39738.67
1896     22        38187.04
1896     23        36743.43
1896     24        35962.26
1896     25        34716.79
1896     26        32785.20
1896     27        30710.37
1896     28        30845.81
1896     29        33761.31
1896     30        34793.75
1896     31        34813.91
1896     32        34748.20
1896     33        33841.79
1896     34        32411.97
1896     35        32504.63
1896     36        33559.95
1896     37        33241.92
1896     38        31486.88
1896     39        29401.30
1896     40        28521.40
1896     41        29254.71
1896     42        28806.82
1896     43        26486.28
1896     44        26109.01
1896     45        26683.33
1896     46        27174.51
1896     47        26601.98
1896     48        24764.31
1896     49        23532.22
1896     50        23885.50
1896     51        25102.17
1896     52        24720.83
1896     53        24099.67
1896     54        23499.50
1896     55        23030.50
1897     12        51474.02
1897     13        50160.07
1897     14        48547.34
1897     15        47447.56
1897     16        46458.65
1897     17        46490.12
1897     18        45236.82
1897     19        43853.93
1897     20        42613.13
1897     21        40726.95
1897     22        39157.70
1897     23        37657.58
1897     24        36270.98
1897     25        35574.94
1897     26        34328.88
1897     27        32488.74
1897     28        30459.41
1897     29        30613.40
1897     30        33496.66
1897     31        34522.78
1897     32        34566.43
1897     33        34498.76
1897     34        33622.34
1897     35        32185.29
1897     36        32262.23
1897     37        33316.56
1897     38        32994.44
1897     39        31244.43
1897     40        29171.86
1897     41        28305.92
1897     42        29047.20
1897     43        28573.36
1897     44        26270.84
1897     45        25892.11
1897     46        26468.49
1897     47        26974.03
1897     48        26376.19
1897     49        24537.33
1897     50        23289.83
1897     51        23653.17
1897     52        24832.17
1897     53        24431.17
1897     54        23821.50
1897     55        23232.83
1898     12        51984.42
1898     13        51269.59
1898     14        49908.58
1898     15        48192.43
1898     16        46921.20
1898     17        45873.32
1898     18        45836.11
1898     19        44565.43
1898     20        43207.10
1898     21        42010.23
1898     22        40201.99
1898     23        38726.24
1898     24        37238.12
1898     25        35909.12
1898     26        35213.93
1898     27        34079.38
1898     28        32230.25
1898     29        30239.93
1898     30        30376.47
