"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100-104","105-109","110+"
"0-4",0,2.24604277925373e-05,0.0176554613512878,0.121120448214303,0.218771463020156,0.201098796633208,0.142998098656908,0.0794669777457491,0.0255555858839543,0.00210448872604037,6.51839612218962e-06,0,0,0,0,0,0,0,0,0,0,0,0
"5-9",0.956906226759516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-14",0,0.986199035345542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-19",0,0,0.979350349135996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20-24",0,0,0,0.972748176668674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25-29",0,0,0,0,0.978958450836623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-34",0,0,0,0,0,0.980541877597425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35-39",0,0,0,0,0,0,0.982949975452561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40-44",0,0,0,0,0,0,0,0.983979936397956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45-49",0,0,0,0,0,0,0,0,0.980795036355242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50-54",0,0,0,0,0,0,0,0,0,0.976157573088146,0,0,0,0,0,0,0,0,0,0,0,0,0
"55-59",0,0,0,0,0,0,0,0,0,0,0.968220440553978,0,0,0,0,0,0,0,0,0,0,0,0
"60-64",0,0,0,0,0,0,0,0,0,0,0,0.956310255439373,0,0,0,0,0,0,0,0,0,0,0
"65-69",0,0,0,0,0,0,0,0,0,0,0,0,0.932205403100539,0,0,0,0,0,0,0,0,0,0
"70-74",0,0,0,0,0,0,0,0,0,0,0,0,0,0.892632755145048,0,0,0,0,0,0,0,0,0
"75-79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829482191289452,0,0,0,0,0,0,0,0
"80-84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73369752274713,0,0,0,0,0,0,0
"85-89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595139289838337,0,0,0,0,0,0
"90-94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42151482997322,0,0,0,0,0
"95-99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250701253865887,0,0,0,0
"100-104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118580854929712,0,0,0
"105-109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725806451612903,0,0
"110+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0
