Sweden, Live births by birth cohort and age (horizontal parallelograms, age in completed years (ACY))
Last modified: 21/03/2016
Cohort  Age        Total
1836     12-           .
1836     13            .
1836     14            .
1836     15            .
1836     16            .
1836     17            .
1836     18            .
1836     19            .
1836     20            .
1836     21            .
1836     22            .
1836     23            .
1836     24            .
1836     25            .
1836     26            .
1836     27            .
1836     28            .
1836     29            .
1836     30            .
1836     31            .
1836     32            .
1836     33            .
1836     34            .
1836     35            .
1836     36            .
1836     37            .
1836     38            .
1836     39            .
1836     40            .
1836     41            .
1836     42            .
1836     43            .
1836     44            .
1836     45            .
1836     46            .
1836     47            .
1836     48            .
1836     49            .
1836     50            .
1836     51            .
1836     52            .
1836     53            .
1836     54            .
1836     55+        0.00
1837     12-           .
1837     13            .
1837     14            .
1837     15            .
1837     16            .
1837     17            .
1837     18            .
1837     19            .
1837     20            .
1837     21            .
1837     22            .
1837     23            .
1837     24            .
1837     25            .
1837     26            .
1837     27            .
1837     28            .
1837     29            .
1837     30            .
1837     31            .
1837     32            .
1837     33            .
1837     34            .
1837     35            .
1837     36            .
1837     37            .
1837     38            .
1837     39            .
1837     40            .
1837     41            .
1837     42            .
1837     43            .
1837     44            .
1837     45            .
1837     46            .
1837     47            .
1837     48            .
1837     49            .
1837     50            .
1837     51            .
1837     52            .
1837     53            .
1837     54         0.00
1837     55+        0.00
1838     12-           .
1838     13            .
1838     14            .
1838     15            .
1838     16            .
1838     17            .
1838     18            .
1838     19            .
1838     20            .
1838     21            .
1838     22            .
1838     23            .
1838     24            .
1838     25            .
1838     26            .
1838     27            .
1838     28            .
1838     29            .
1838     30            .
1838     31            .
1838     32            .
1838     33            .
1838     34            .
1838     35            .
1838     36            .
1838     37            .
1838     38            .
1838     39            .
1838     40            .
1838     41            .
1838     42            .
1838     43            .
1838     44            .
1838     45            .
1838     46            .
1838     47            .
1838     48            .
1838     49            .
1838     50            .
1838     51            .
1838     52            .
1838     53         0.00
1838     54         0.00
1838     55+        0.00
1839     12-           .
1839     13            .
1839     14            .
1839     15            .
1839     16            .
1839     17            .
1839     18            .
1839     19            .
1839     20            .
1839     21            .
1839     22            .
1839     23            .
1839     24            .
1839     25            .
1839     26            .
1839     27            .
1839     28            .
1839     29            .
1839     30            .
1839     31            .
1839     32            .
1839     33            .
1839     34            .
1839     35            .
1839     36            .
1839     37            .
1839     38            .
1839     39            .
1839     40            .
1839     41            .
1839     42            .
1839     43            .
1839     44            .
1839     45            .
1839     46            .
1839     47            .
1839     48            .
1839     49            .
1839     50            .
1839     51            .
1839     52         0.00
1839     53         0.00
1839     54         0.00
1839     55+        0.00
1840     12-           .
1840     13            .
1840     14            .
1840     15            .
1840     16            .
1840     17            .
1840     18            .
1840     19            .
1840     20            .
1840     21            .
1840     22            .
1840     23            .
1840     24            .
1840     25            .
1840     26            .
1840     27            .
1840     28            .
1840     29            .
1840     30            .
1840     31            .
1840     32            .
1840     33            .
1840     34            .
1840     35            .
1840     36            .
1840     37            .
1840     38            .
1840     39            .
1840     40            .
1840     41            .
1840     42            .
1840     43            .
1840     44            .
1840     45            .
1840     46            .
1840     47            .
1840     48            .
1840     49            .
1840     50            .
1840     51         0.24
1840     52         0.29
1840     53         0.00
1840     54         0.00
1840     55+        0.00
1841     12-           .
1841     13            .
1841     14            .
1841     15            .
1841     16            .
1841     17            .
1841     18            .
1841     19            .
1841     20            .
1841     21            .
1841     22            .
1841     23            .
1841     24            .
1841     25            .
1841     26            .
1841     27            .
1841     28            .
1841     29            .
1841     30            .
1841     31            .
1841     32            .
1841     33            .
1841     34            .
1841     35            .
1841     36            .
1841     37            .
1841     38            .
1841     39            .
1841     40            .
1841     41            .
1841     42            .
1841     43            .
1841     44            .
1841     45            .
1841     46            .
1841     47            .
1841     48            .
1841     49            .
1841     50        21.65
1841     51         1.17
1841     52         0.70
1841     53         0.00
1841     54         0.00
1841     55+        0.00
1842     12-           .
1842     13            .
1842     14            .
1842     15            .
1842     16            .
1842     17            .
1842     18            .
1842     19            .
1842     20            .
1842     21            .
1842     22            .
1842     23            .
1842     24            .
1842     25            .
1842     26            .
1842     27            .
1842     28            .
1842     29            .
1842     30            .
1842     31            .
1842     32            .
1842     33            .
1842     34            .
1842     35            .
1842     36            .
1842     37            .
1842     38            .
1842     39            .
1842     40            .
1842     41            .
1842     42            .
1842     43            .
1842     44            .
1842     45            .
1842     46            .
1842     47            .
1842     48            .
1842     49        47.12
1842     50        14.40
1842     51         0.57
1842     52         0.00
1842     53         0.00
1842     54         0.00
1842     55+        0.00
1843     12-           .
1843     13            .
1843     14            .
1843     15            .
1843     16            .
1843     17            .
1843     18            .
1843     19            .
1843     20            .
1843     21            .
1843     22            .
1843     23            .
1843     24            .
1843     25            .
1843     26            .
1843     27            .
1843     28            .
1843     29            .
1843     30            .
1843     31            .
1843     32            .
1843     33            .
