"year_id","mx","ax","qx","n","px","lx","dx","nLx","Tx","ex","age","location_name","sex"
1970,0.031405461556489,1.35674709851766,0.115992970764637,4,0.884007029235363,82875.0978316484,9612.92879990282,306090.989384507,4197862.27656145,50.6528786860553,"1","Haiti","both"
1971,0.0305699063276222,1.35665512256861,0.113137356936932,4,0.886862643063068,83100.5256166399,9401.77382833643,307549.971778658,4225493.09987007,50.8479707982011,"1","Haiti","both"
1972,0.0286181019653223,1.35664167909346,0.106421820819378,4,0.893578179180622,83714.3017566568,8909.02842156627,311307.452617287,4293890.34909953,51.2921957060711,"1","Haiti","both"
1973,0.0266160358928451,1.35650527940751,0.0994657948613166,4,0.900534205138683,84320.827570339,8387.03813764779,315112.219243076,4373392.97410146,51.8661059209037,"1","Haiti","both"
1974,0.0256701512775886,1.3567211405401,0.0961560904979705,4,0.90384390950203,84650.3536725819,8139.647068426,317086.057670892,4439285.74988244,52.4426131407921,"1","Haiti","both"
1975,0.0251149830891326,1.35664724347911,0.0942058190703392,4,0.905794180929661,84832.7481621945,7991.73852460734,318206.008590363,4475182.87333715,52.7530107215306,"1","Haiti","both"
1976,0.0253167462718138,1.35656783196955,0.0949149802327155,4,0.905085019767285,84585.1132225788,8028.39434950307,317117.937009205,4479337.47865878,52.9565701102955,"1","Haiti","both"
1977,0.0259994650756887,1.35666988302919,0.0973102003335953,4,0.902689799666405,84079.9937226699,8181.84103320044,314692.668075353,4463244.3140355,53.0833093156156,"1","Haiti","both"
1978,0.0260292505932288,1.35650516332015,0.0974141135811807,4,0.902585886418819,83875.0235616558,8170.61107185934,313901.126065644,4472439.52962923,53.3226619762626,"1","Haiti","both"
1979,0.0228284901700648,1.35568343594451,0.0861155316233635,4,0.913884468376637,85036.2930642361,7322.94558450683,320780.985950156,4611980.58200907,54.2354377856663,"1","Haiti","both"
1980,0.0202638912050138,1.35534043571174,0.0769326594595211,4,0.923067340540479,86097.6848674924,6623.72387016396,326873.244785536,4729385.92502411,54.9304656949001,"1","Haiti","both"
1981,0.0190923060436044,1.35573239861539,0.0726990029215814,4,0.927300997078419,86778.6168551971,6308.71892028677,330432.526373632,4808847.93810048,55.4151254349299,"1","Haiti","both"
1982,0.0185524047866194,1.35625507616013,0.0707399770617487,4,0.929260022938251,87331.9726166506,6177.86173965913,332995.199852194,4864351.39061605,55.699547884581,"1","Haiti","both"
1983,0.0169791534029923,1.35618732039196,0.0649988353252413,4,0.935001164674759,88300.1502753731,5739.40692694303,338026.68429461,4952875.38724064,56.0913585287748,"1","Haiti","both"
1984,0.0163761421093517,1.35631133647985,0.0627863332629203,4,0.93721366673708,88626.7431655968,5564.54823240241,339796.039582774,4977383.39088857,56.1611903259094,"1","Haiti","both"
1985,0.0157746358507668,1.35641225496524,0.0605725683271884,4,0.939427431672812,88730.6925591975,5374.64593776074,340714.422101825,4986367.7327606,56.1966506621584,"1","Haiti","both"
1986,0.0148902868140313,1.35638846918053,0.0573053709594133,4,0.942694629040587,88946.0580149723,5097.08684992549,342309.514489838,5007887.96223587,56.3025284537386,"1","Haiti","both"
1987,0.0151047888758876,1.35639115065456,0.0580991879105568,4,0.941900812089443,88650.5742512753,5150.52637180361,340986.319909814,4996429.18096912,56.3609341864725,"1","Haiti","both"
1988,0.0160197261632335,1.35627019362528,0.0614753128065118,4,0.938524687193488,88331.3910286743,5430.19989412205,338969.582800034,4950109.49780017,56.0402076787544,"1","Haiti","both"
1989,0.0163759162968759,1.35630374042641,0.0627854959353119,4,0.937214504064688,88579.2307122932,5561.49092983974,339614.030080303,4932947.86103044,55.6896669948821,"1","Haiti","both"
1990,0.0167106486809879,1.35650610833674,0.0640147742262373,4,0.935985225773763,88983.7462815575,5696.27442801869,340876.918470525,4942570.70232339,55.5446461726211,"1","Haiti","both"
1991,0.0166214751743137,1.35678334835509,0.063687829412613,4,0.936312170587387,89530.7657079073,5702.02013358581,343051.388266521,4977871.38206442,55.5995622589072,"1","Haiti","both"
1992,0.0159485449622225,1.35669978926548,0.0612136103921318,4,0.938786389607868,90050.1132032356,5512.29254539023,345629.808766082,5030529.47232326,55.8636662784618,"1","Haiti","both"
1993,0.0142547476626552,1.35689754455318,0.0549487016846697,4,0.94505129831533,90886.3868883967,4994.08896032798,350345.658759824,5075288.8979351,55.8421241254454,"1","Haiti","both"
1994,0.0123429669548722,1.35722576638156,0.0478122478325116,4,0.952187752167488,91649.1387777601,4381.95133687851,355016.047024968,5187016.88234922,56.596460714456,"1","Haiti","both"
1995,0.0115836285405834,1.35749854269207,0.0449583500680845,4,0.955041649931916,91707.3118566071,4123.00943025234,355934.188998492,5232141.58790617,57.0526109857752,"1","Haiti","both"
1996,0.0107644701924186,1.35750522231282,0.0418669723844271,4,0.958133027615573,91833.2238421485,3844.77904657213,357173.086816666,5286144.0543348,57.5624358284657,"1","Haiti","both"
1997,0.00958708783376234,1.35740486790241,0.0374008096162363,4,0.962599190383764,92299.3957483567,3452.07212807794,360075.153992118,5354204.34639446,58.0090942414407,"1","Haiti","both"
1998,0.00843790919829742,1.35676858863272,0.0330152854376808,4,0.966984714562319,92806.389697886,3064.02944631634,363126.619913687,5418629.95363083,58.3863888173021,"1","Haiti","both"
