"","0","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100-104","105-109","110+"
"0",0,0,0.0528713004469717,0.211132159183222,0.517331273857361,0.803737199698373,0.781381903143311,0.540405934917102,0.478644247438947,0.548506045490028,0.279838781158543,0.00357928544279742,0,0,0,0,0,0,0,0,0,0,0,0
"1-4",3.76052075479712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-9",0,1.20793376481086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-14",0,0,0.979432776645284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-19",0,0,0,0.978065255268874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20-24",0,0,0,0,0.973278344477524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25-29",0,0,0,0,0,0.970097535290725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-34",0,0,0,0,0,0,0.96898713892852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35-39",0,0,0,0,0,0,0,0.967557114468999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40-44",0,0,0,0,0,0,0,0,0.964906186766352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45-49",0,0,0,0,0,0,0,0,0,0.961681313783527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50-54",0,0,0,0,0,0,0,0,0,0,0.954040404040404,0,0,0,0,0,0,0,0,0,0,0,0,0
"55-59",0,0,0,0,0,0,0,0,0,0,0,0.941251206676424,0,0,0,0,0,0,0,0,0,0,0,0
"60-64",0,0,0,0,0,0,0,0,0,0,0,0,0.919523992271657,0,0,0,0,0,0,0,0,0,0,0
"65-69",0,0,0,0,0,0,0,0,0,0,0,0,0,0.88232309967295,0,0,0,0,0,0,0,0,0,0
"70-74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816814281986038,0,0,0,0,0,0,0,0,0
"75-79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711465785361616,0,0,0,0,0,0,0,0
"80-84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571077726242518,0,0,0,0,0,0,0
"85-89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39754994716536,0,0,0,0,0,0
"90-94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252202132591562,0,0,0,0,0
"95-99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137377450980392,0,0,0,0
"100-104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0633363068688671,0,0,0
"105-109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028169014084507,0,0
"110+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
