Sweden, Life tables (period 5x5), Females     Last modified: 02-Sep-2015, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1751-1754        0      0.22641  0.19737  0.35  100000   19737   87171  3917680  39.18
1751-1754      1-4      0.03842  0.14065  1.59   80263   11289  293861  3830509  47.72
1751-1754      5-9      0.01264  0.06076  1.85   68974    4191  331651  3536648  51.28
1751-1754     10-14     0.00625  0.03079  2.53   64783    1995  318995  3204997  49.47
1751-1754     15-19     0.00601  0.02958  2.43   62788    1857  309169  2886002  45.96
1751-1754     20-24     0.00656  0.03231  2.59   60931    1969  299906  2576833  42.29
1751-1754     25-29     0.00803  0.03936  2.56   58962    2321  289160  2276928  38.62
1751-1754     30-34     0.01059  0.05162  2.57   56642    2924  276095  1987767  35.09
1751-1754     35-39     0.00997  0.04861  2.44   53718    2611  261912  1711673  31.86
1751-1754     40-44     0.01344  0.06514  2.63   51106    3329  247632  1449761  28.37
1751-1754     45-49     0.01265  0.06120  2.38   47777    2924  231214  1202128  25.16
1751-1754     50-54     0.01663  0.08005  2.69   44854    3590  215960   970914  21.65
1751-1754     55-59     0.02061  0.09802  2.51   41263    4044  196263   754954  18.30
1751-1754     60-64     0.03157  0.14683  2.62   37219    5465  173100   558690  15.01
1751-1754     65-69     0.04242  0.19203  2.54   31754    6098  143758   385591  12.14
1751-1754     70-74     0.07444  0.31631  2.63   25656    8115  109016   241833   9.43
1751-1754     75-79     0.10306  0.40286  2.29   17541    7066   68569   132817   7.57
1751-1754     80-84     0.13663  0.50571  2.43   10474    5297   38767    64248   6.13
1751-1754     85-89     0.17456  0.58510  2.18    5177    3029   17354    25481   4.92
1751-1754     90-94     0.24467  0.71736  2.12    2148    1541    6298     8127   3.78
1751-1754     95-99     0.31754  0.80878  1.97     607     491    1546     1829   3.01
1751-1754    100-104    0.40117  0.87842  1.80     116     102     254      283   2.43
1751-1754    105-109    0.49101  0.92565  1.64      14      13      27       28   2.02
1751-1754    110+       0.56447  1.00000  1.77       1       1       2        2   1.77
1755-1759        0      0.23517  0.20399  0.35  100000   20399   86741  3679766  36.80
